Source Title,DOI,TD_Score
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1756-6,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1739-7,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2578930,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-016-0215-z,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-017-0324-0,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.11.017,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4035129,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.11.006,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1709-0,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1724-1,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1714-3,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.10.008,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.11.011,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.11.001,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-016-0202-4,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.07.003,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2017.1368386,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.06.012,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.07.014,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1668-5,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2017.1386550,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2017.1332989,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2017.1351876,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-016-0179-z,1.0
IEEE PULSE,10.1109/MPUL.2016.2606468,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.07.011,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2533722,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1627-1,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.06.016,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2015.2512924,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0231-9,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.08.001,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4033797,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.06.020,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4033781,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.06.003,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0227-5,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.04.023,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0206-x,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1493-2,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0202-1,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2016.1184968,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2016.1180245,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2016.03.004,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4033147,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4033146,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-016-1586-6,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1473-6,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2015.2480679,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.01.003,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2538296,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2015.2476371,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0155-4,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0152-7,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1521-2,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1475-4,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1385-5,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1411-7,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1438-9,1.0
IEEE PULSE,10.1109/MPUL.2016.2514899,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2015.11.005,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2015.09.005,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2015.11.017,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1531-0,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-016-0126-9,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2016.1126505,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2015.1090309,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2015.2445713,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-015-0113-6,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2015.2446761,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2015.09.008,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1354-z,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-015-0105-6,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1337-0,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-015-0086-5,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1251-5,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-015-0082-z,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4030596,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2015.1059274,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2015.06.014,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2015.05.013,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2015.05.001,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2015.04.013,1.0
IEEE PULSE,10.1109/MPUL.2015.2428303,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4030151,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-015-1295-6,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4030127,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4030193,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4030123,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-015-0035-6,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-015-0051-3,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2015.03.010,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1146-x,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2014.11.005,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2381002,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2015.02.003,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2015.01.003,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4029418,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1217-z,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2364263,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-14-5,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-14-S1-S8,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1093-6,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.10.004,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2350029,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2015.1090308,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2014.09.005,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2014.09.007,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-13-162,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2334309,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.09.009,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1088-3,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2014.947273,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1043-3,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1085-6,1.0
IEEE PULSE,10.1109/MPUL.2014.2355320,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.07.014,1.0
IEEE PULSE,10.1109/MPUL.2014.2355319,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1068-7,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1078-5,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027079,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2014.929495,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2014.06.004,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027048,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1033-5,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027044,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027078,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1018-4,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1017-5,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-13-104,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-13-99,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.03.013,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2309912,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-13-87,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-13-78,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2308594,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2306773,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.02.006,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.02.009,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-014-1003-y,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027031,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027029,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2014.02.016,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027003,1.0
IEEE PULSE,10.1109/MPUL.2014.2309224,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2316326,1.0
IEEE PULSE,10.1109/MPUL.2014.2309576,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-013-0967-3,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2013.09.004,1.0
IEEE PULSE,10.1109/MPUL.2014.2309577,1.0
IEEE PULSE,,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2014.2304565,1.0
IEEE PULSE,10.1109/MPUL.2013.2296733,1.0
IEEE PULSE,10.1109/MPUL.2013.2296805,1.0
IEEE PULSE,10.1109/MPUL.2013.2296800,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-13-22,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2281595,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2279635,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.5405/jmbe.1684,1.0
IEEE PULSE,10.1109/MPUL.2013.2289460,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.5405/jmbe.1070,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2263226,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4025186,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2013.07.001,1.0
IEEE PULSE,10.1109/MPUL.2013.2279629,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2013.10.008,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2268387,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2270371,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-12-102,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2263844,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-12-97,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2261815,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2262150,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2261816,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4024488,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/17434440.2013.827509,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2262499,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2259592,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2261893,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0646-9,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2013.03.013,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-12-62,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2012.09.005,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2244887,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4024159,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-12-50,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4024341,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-12-43,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2237906,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2012.10.005,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2012.12.003,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2229708,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/ERD.12.92,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0710-5,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2235439,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2013.2244598,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2012.08.007,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4023289,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0694-1,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/ERD.12.81,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0651-z,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0648-7,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/ERD.12.64,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2012.03.012,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2220639,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2012.03.010,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2217959,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0617-1,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2012.01.008,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0603-7,1.0
IEEE PULSE,10.1109/MPUL.2012.2216712,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2192930,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0593-5,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2011.12.002,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2011.11.021,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/ERD.12.49,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2011.09.023,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2012.05.014,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2011.12.001,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2206389,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4007250,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2011.09.024,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-11-48,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/1475-925X-11-47,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0538-z,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0527-2,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0529-0,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0523-6,1.0
IEEE PULSE,10.1109/MPUL.2012.2196834,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-012-0520-9,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2190930,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4006542,1.0
EXPERT REVIEW OF MEDICAL DEVICES,,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-011-0474-3,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-011-0483-2,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2012.2187650,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-011-0446-7,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2011.2172685,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2011.2179297,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-011-0442-y,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2011.2179034,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1586/ERD.11.61,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.5405/jmbe.889,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2011.06.010,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2011.2161608,1.0
IEEE PULSE,10.1109/MPUL.2011.2175631,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-011-0386-2,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2011.2163189,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2011.2163405,1.0
