DOI,Cited References,Publication Year,Source Title,Abstract,WoS Categories,Article Title,Keywords,citing
,0,2026-01-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"This study introduces the application of the superlet transform (SLT) for time-frequency feature extraction from electroencephalogram (EEG) signals in diagnosing major depressive disorder (MDD). Based on SLT features and an SVM classifier, an interpretable classification model was developed, achieving accuracies of 97.57 % on the Multi-modal Open Dataset (MODMA) and 96.58 % on Mumtaz's dataset. Cross-dataset validation confirmed the model's classification performance and robustness. Notably, SLT features in the alpha and theta bands effectively captured characteristics of MDD patients, with alpha band features exhibiting notable stability across datasets. These findings suggest that SLT-based feature extraction enhances both the accuracy and interpretability of EEG analyses, offering promising avenues for developing biomarkers and guiding EEG-based neurofeedback interventions for depression treatment.","Engineering, Biomedical",Towards alpha and theta band superlet features as biomarkers for depression: Insights from a cross-dataset classification study,,[]
,0,2026-01-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Background: Biological age is a key concept in the development of biomarkers of health and disease. We develop a prediction of the functional autonomic age (FAA) from infancy to adolescence based on the ECG-derived tachogram recorded at the onset of N2 sleep. Methods: A cohort of ECG recordings from 1004 typically developing infants, children and adolescents (age range: 1 month to 17 years) was used to train feature-based and deep neural network-based regression models for the prediction of FAA. Weighted mean absolute error (wMAE) was used to define accuracy and evaluated with 10-fold cross-validation. Effect size was used to compare model accuracies and linear regression was used to evaluate confounds. The combination of FAA with an EEG-based estimate of functional brain age (FBA) was also tested. Results: A feature-based FAA had a wMAE of 1.78 years (95 %CI: 1.62-1.93, n = 1004) and was comparable to deep neural network regression (wMAE = 1.85 years, 95 %CI: 1.66-1.98). Accuracy was affected by age and age2 (t = -4.97, p < 0.001 and t = 9.66, p < 0.001, respectively) with smaller errors at younger ages, but not biological sex (t = -0.660, p = 0.510). Combining the FAA with a functional brain age derived from the EEG resulted improved accuracy, with neural networks-based methods superior (wMAE of 0.81 years, 95 %CI: 0.73-0.88, effect size D = 0.77, 95 %CI: 0.70-0.84, n = 1004). Conclusion: FAA derived from the tachogram accurately represents age from infancy to adolescence. The combination of FAA with FBA improves age prediction accuracy.","Engineering, Biomedical",Age prediction from infancy to adolescence at the onset of N2 sleep using an ECG-derived tachogram,,[]
,0,2026-01-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Securing copyright protection for retinal images is critical, as it safeguards intellectual property and ensures the integrity of sensitive digital medical content. This paper proposed a zero-watermarking system explicitly designed for retinal images by integrating Gradient Directional Pattern (GDP) based master share generation and a chaotic DNA cryptographic method. The master share, generated using GDP and designed with robustness and versatility through histogram-based gradient feature selection, enables accurate encoding of retinal image features and provides a dependable basis for copyright verification. The system utilizes chaotic DNA cryptography to strengthen watermark security, bringing higher complexity and greater resilience against different manipulations. It also maintains the visual quality and subtlety of retinal images while strengthening the robustness of copyright protection measures. The experimentation confirms the method's effectiveness in protecting medical images, highlighting its promise as an advanced and reliable solution for defending the copyright of retinal images against contemporary threats.","Engineering, Biomedical",Securing copyright protection for retinal images through watermark image encryption in a robust zero-watermarking system,,[]
,2,2026-01-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"The choroidal vascularity index (CVI) has become a useful measure for monitoring ocular health in inflammatory and vascular disorders. It is also a valuable parameter to monitor the potential adverse effect of drugs that modulate choroidal blood flow. This research aims to automatically segment the choroid as well as the vessels for accurate CVI calculation in enhanced depth imaging-optical coherence tomography (EDI-OCT) images. For this, CVI-UNet, a multi-segmentation U-Net with a channel attention module (CAM) and a vessel enhancement block (VEB) is proposed. The proposed model has a common encoder that is shared between the choroid segmentation decoder and the vessel segmentation decoder. It is capable of automatically segmenting the entire choroid region, as well as the vessels present in the choroid simultaneously in an end-to-end fashion from the input OCT images. The segmentation performance of CVI-UNet is quantitatively assessed on a completely anonymized dataset. The proposed method yielded an accuracy, dice similarity coefficient and jaccard index of 97.04%, 96.83% and 94.25% respectively for choroid segmentation and 95.58%, 93.99% and 92.56% respectively for vessel segmentation. The reliability of the CVI values and the agreement of the CVI values computed using the manual and the automated methods are also evaluated. Our results indicate that the CVI-UNet can accurately and efficiently segment choroid and vessels from the OCT images, which will be helpful to quantify the CVI.","Engineering, Biomedical",CVI-UNet: A multi-segmentation U-Net for automated choroidal vascularity index calculation from EDI-OCT images,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Medical image segmentation has traditionally relied on convolutional neural networks (CNNs) and Transformerbased models. CNNs, however, are constrained by limited receptive fields, while Transformers face scalability challenges due to quadratic computational complexity. To overcome these issues, recent studies have explored alternative architectures. The Mamba model, a selective state-space design, achieves near-linear complexity and effectively captures long-range dependencies. Its vision-oriented variant, the Visual State Space (VSS) model, extends these strengths to image feature learning. In parallel, the Kolmogorov-Arnold Network (KAN) enhances nonlinear expressiveness by replacing fixed activation functions with learnable ones. Motivated by these advances, we propose the VSS-Enhanced KAN (VKAN) module, which integrates VSS with the Expanded Field Convolutional KAN (EFC-KAN) as a replacement for Transformer modules, thereby strengthening feature extraction. We further embed VKAN into a U-Net framework, resulting in MedVKAN, an efficient medical image segmentation model. Extensive experiments on five public datasets demonstrate that MedVKAN achieves stateof-the-art performance on four datasets and ranks second on the remaining one. These results underscore the effectiveness of combining Mamba and KAN while introducing a novel and computationally efficient feature extraction framework. The source code is available at: https://github.com/beginner-cjh/MedVKAN.","Engineering, Biomedical",MedVKAN: Efficient feature extraction with Mamba and KAN for medical image segmentation,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"The accurate classification of electrocardiogram (ECG) signals is crucial for the early detection and diagnosis of cardiovascular diseases (CVDs), which remain the leading cause of mortality globally. Traditional methods of ECG interpretation are often limited by their inability to simultaneously identify multiple co-occurring heart conditions, a challenge that is further complicated by the complex nature of ECG signals. In response to this, we introduce an innovative deep learning architecture that combines Efficient Channel Attention (ECA), Squeeze-and-Excitation Networks (SENet), and residual networks (Resnet) modules, specifically designed for multi-label ECG classification using the PTB-XL dataset. Our model not only excels in detecting and distinguishing between various cardiac abnormalities but also addresses the critical need for interpretability in clinical applications. By incorporating SHapley Additive exPlanations (SHAP) and Gradient-weighted Class Activation Mapping (Grad-CAM), we provide transparent, explainable insights into the model's decision-making process, ensuring that healthcare professionals can understand and trust the model's predictions. Experimental results on the PTB-XL dataset demonstrate that the proposed model achieves Exact match, Accuracy and F1-score of 0.638, 88.27% and 91.81%, respectively, with substantial improvements in both sensitivity and specificity across various cardiac conditions compared to state-of-the-art methods. This work represents a crucial step toward more reliable, interpretable, and clinically applicable AI-driven diagnostics for cardiovascular health.","Engineering, Biomedical",Interpretable deep learning framework for multi-label ECG classification: Enhancing cardiac diagnostics through feature attention and explainability,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Accurate liver, COVID-19, and brain disease diagnosis is crucial for effective medical treatment and improved patient outcomes. In Computer-Aided Diagnosis (CAD) systems, segmentation is the foundational step, which plays a pivotal role in accurately delineating regions of interest for subsequent analysis. Among various techniques, multilevel thresholding segmentation is a specialized approach for processing medical images. However, its computational complexity and challenges in achieving satisfactory segmentation results limit its widespread application. To address these issues, this paper proposes an Enhanced Crested Porcupine Optimizer (ECPO) tailored for multilevel thresholding in medical image segmentation. The ECPO integrates two novel strategies: Enhanced Solution Quality (ESQ) and Gaussian Distribution, improving the exploration and exploitation capabilities of the original Crested Porcupine Optimizer (CPO). The optimization performance of ECPO is rigorously evaluated on 12 classical benchmark functions using CEC'2022 test functions, demonstrating superior results compared to CPO and other state-of-the-art algorithms. Subsequently, the ECPO is applied to segmenting medical images from three datasets focusing on liver cancer, COVID-19, and brain diseases. Utilizing Otsu and Kapur methods. Experimental results indicate that ECPO achieves the best segmentation outcomes in terms of fitness values, Peak Signal-to-Noise Ratio (PSNR), Structural Similarity Index (SSIM), and Feature Similarity Index (FSIM). The experimental results reveal that ECPO achieves the most accurate and effective segmentation outcomes across all datasets, outperforming other competitive algorithms. These findings underscore the potential of ECPO as a robust and efficient solution to the multilevel thresholding segmentation challenges in medical imaging.","Engineering, Biomedical","Multilevel thresholding segmentation of medical images using the Crested Porcupine Optimizer with Enhanced Solution Quality and Gaussian distribution: Applications to liver, COVID-19, and brain diseases",,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Knee osteoarthritis (OA) is a common and debilitating joint disorder that severely affects mobility and quality of life. Traditional deep learning methods for diagnosing OA from 3D MRI often struggle, facing a tradeoff between the high computational cost and detail loss of 3D models, and the incomplete perspective of single-view approaches. To address these challenges, we introduce the Multi-View Multi-Instance (MVMI) network, an advanced framework that synergizes Multi-Instance Learning (MIL) with Multi-View Learning. This approach processes three parallel views (Coronal, Sagittal, and Axial) of knee MRIs, treating each 2D slice as an independent instance within a ""bag"". Central to the network's architecture is a custom Res-Squeez-Net, a lightweight and efficient convolutional neural network that incorporates residual and squeeze-and-excitation blocks for enhanced feature extraction. This MVMI strategy enhances the model's ability to identify and leverage distinct pathological features from all three anatomical planes, leading to a more robust and comprehensive analysis. Evaluated on an extensive dataset of 900 patients from the Osteoarthritis Initiative (OAI) database, our three-view MVMI network achieved a state-of-the-art AUC of 94.75%. Furthermore, the model's robustness was confirmed through cross-sequence validation on unseen MRI pulse sequences, demonstrating its potential for generalizable and accurate OA detection.","Engineering, Biomedical",MVMI: Multi-View Multi-Instance network for the detection of knee osteoarthritis,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Remote monitoring of cardiovascular diseases plays an essential role in early detection of abnormal cardiac function, enabling timely intervention, improved preventive care, and personalized patient treatment. Abnormalities in the heart sounds can be detected automatically via computer-assisted decision support systems, and used as the first-line screening tool for detection of cardiovascular problems, or for monitoring the effects of treatments and interventions. We propose in this paper CardioPHON, an integrated heart sound quality assessment and classification tool that can be used for screening of abnormal cardiac function from phonocardiogram recordings. The model is pretrained in a self-supervised fashion on a collection of six small- and mid-sized heart sound datasets, enables automatic removal of low quality recordings to ensure that subtle sounds of heart abnormalities are not misdiagnosed, and provides a state-of-the-art performance for the heart sound classification task. The multimodal model that combines audio and socio-demographic features demonstrated superior performance, achieving the best ranking on the official leaderboard of the 2022 George B. Moody PhysioNet heart sound challenge, whereas the unimodal model, that is based only on phonocardiogram recordings, holds the first position among the unimodal approaches (a total rank 4), surpassing the models utilizing multiple modalities. CardioPHON is the first publicly released pretrained model in the domain of heart sound recordings, facilitating the development of data-efficient artificial intelligence models that can generalize to various downstream tasks in cardiovascular diagnostics.","Engineering, Biomedical",CardioPHON: Quality assessment and self-supervised pretraining for screening of cardiac function based on phonocardiogram recordings,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Precise medical image segmentation is crucial in clinical diagnosis and pathological analysis. Most segmentation methods are based on U-shaped convolutional neural networks (U-Net). Although U-Net performs well in medical image segmentation, as a method based on CNN, its main drawback lies in the difficulty of establishing long-range pixels dependencies and has a constrained receptive field, which restricts segmentation accuracy. Many models address this issue by incorporating Transformer models into U-Net architectures to better capture long-range dependencies. However, these methods often suffer from simple feature fusion techniques and limited receptive fields for local features. To address these challenges, we propose a dual-encoder framework, named MDCT-Unet, which combines Swin-Transformer and CNN for enhanced medical image segmentation. This framework introduces a novel dynamic feature fusion module to better integrate of local and global features. By combining channel and spatial attention mechanisms and inducing competition between them, we enhance the coupling of these two types of features, ensuring richer information representation. In addition, to better extract multi-scale local features from medical images, we design a dilated convolution encoder (DCE) as the CNN branch of our model. By incorporating dilated convolutions with varying receptive fields, DCE captures rich local features at multiple scales, thereby enhancing the model's ability to segment challenging regions such as boundaries and small organs. We conducted extensive experiments on four datasets: Synapse, ISIC2018, CHASEDB1, and MMWHS. The experimental results show that our method outperforms most current medical image segmentation methods quantitatively and qualitatively.","Engineering, Biomedical",MDCT-Unet: A dual-encoder network combining multi-scale dilated convolutions with Transformer for medical image segmentation,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Pulmonary tuberculosis (TB) remains a major global public health challenge. Effectively distinguishing between active and inactive TB is crucial for disease treatment and transmission control. While deep learning models show potential, significant limitations persist in multi-center data scenarios. These limitations stem from intra-domain feature differences (such as individual patient variations and imaging processing changes) and inter-domain feature differences (such as variations in equipment and data distribution across medical centers). Current research has not fully addressed these challenges. To overcome this, we propose a novel model, DMTB-Net (a multi-scale convolutional network with domain generalization capability for tuberculosis diagnosis). DMTB-Net integrates a Multi-Scale Convolutional Fusion Block (MSCB) and a Gradient Reversal Layer (GRL). The MSCB module extracts features from different receptive field scales through parallel multi-scale convolutions, using feature fusion and reconstruction mechanisms to emphasize critical information and reduce redundancy. This enhances the model's ability to capture complex lesion morphologies and reduce the impact of intra-domain feature differences. The GRL module introduces adversarial training via gradient reversal, enabling the model to extract domain-invariant features and mitigate the impact of inter-domain feature differences.DMTB-Net was validated on multi-center TB datasets from three hospitals and further tested on publicly available lung-related datasets. The results show that DMTB-Net outperforms other methods, highlighting its strong classification performance and excellent generalization ability.","Engineering, Biomedical",Advancing automated diagnosis of active pulmonary tuberculosis in multi-center settings through domain generalization and multi-scale convolution fusion,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Deformable image registration is a pivotal task in medical image analysis, essential for applications such as surgical navigation, lesion localization, and treatment planning. However, the accuracy of registration is frequently constrained by the ability to analyze complex textural features, which impedes the capture of finegrained deformations and elevates surgical risks. To overcome these limitations, we propose the Multi-Scale Lipschitz Neural Fields Incorporating Frequency Decoupling (MLNFFD) framework, which reformulates the registration task as the correction of high-frequency residuals based on a low-frequency coarse registration foundation. Specifically, we employ a dual-branch architecture, comprising a band-limited U-Net low-frequency branch for coarse deformation estimation, and a Multi-Scale Lipschitz Neural Fields (MLNF) high-frequency branch dedicated to refining fine-grained deformation residuals. Through a complementary joint optimization strategy, the low-frequency branch provides an initial estimation that accelerates the optimization of the high-frequency branch, while the high-frequency branch refines the deformation field and enhances local details, fostering mutual reinforcement and improving registration accuracy. Additionally, the MLNF branch incorporates a Multi-Scale Implicit Dual-Domain Feature Representation (MIDFR), a deep similarity prior, and Lipschitz continuity constraints, enhancing the representation of complex textural features while ensuring the smoothness of the deformation field. Extensive experimental results on brain MRIs and cine cardiac MRIs datasets show that our proposed approach outperforms existing methods in terms of both registration accuracy and deformation field smoothness.","Engineering, Biomedical",Multi-scale Lipschitz Neural Fields Incorporating Frequency Decoupling for medical image registration,,[]
